172.16.88.12      1    - duplicate datagram with inconsistent data 
                         (one unfragmented and the other incomplete fragments)
202.41.85.117     1    - duplicate datagram with two different lengths
202.41.85.117     4    - incomplete fragmented datagram
202.41.85.117     5    - complete fragmented datagram
172.16.1.11       3    - complete fragmented datagram
172.16.88.13      9    - complete fragmented datagram
172.16.88.239    10    - complete fragmented datagram
130.85.1.1       12    - complete fragmented datagram
172.16.88.13     19    - complete fragmented datagram
130.85.1.1       15    - incomplete fragmented datagram
130.85.1.1        2    - incomplete fragmented datagram
130.85.1.2       20    - incomplete fragmented datagram
172.16.1.11      13    - reassembly unsuccessful (fraglen > totallen)
172.16.1.11      30    - reassembly successful (duplicate fragment)
172.16.1.11      40    - reassembly unsuccessful (fraglen < totallen)
